序号,电影名,年份,类型,导演,评分
211,朗读者,2008,剧情/爱情,史蒂芬·戴德利,豆瓣8.4/IMDB7.6
212,月球,2009,剧情/科幻/悬疑,邓肯·琼斯,豆瓣8.5/IMDB8.0
213,神偷奶爸,2010,喜剧/动画/儿童,皮埃尔·科芬,豆瓣8.5/IMDB7.7
214,黑天鹅,2010,剧情/惊悚,达伦·阿伦诺夫斯基,豆瓣8.5/IMDB8.0
215,蝙蝠侠：黑暗骑士崛起,2012,剧情/动作/科幻,克里斯托弗·诺兰,豆瓣8.5/IMDB8.5
216,被解救的姜戈,2012,剧情/动作/西部,昆汀·塔伦蒂诺,豆瓣8.5/IMDB8.5
217,再次出发之纽约遇见你,2013,喜剧/爱情/音乐,约翰·卡尼,豆瓣8.5/IMDB7.4
218,发条橙,1971,剧情/科幻/犯罪,斯坦利·库布里克,豆瓣8.4/IMDB8.4
219,魔女宅急便,1989,动画/奇幻/冒险,宫崎骏,豆瓣8.4/IMDB7.9
220,新龙门客栈,1992,剧情/动作/武侠,李惠民,豆瓣8.4/IMDB7.4
221,英国病人,1996,剧情/爱情/战争,安东尼·明格拉,豆瓣8.4/IMDB7.4
222,变脸,1997,动作/犯罪,吴宇森,豆瓣8.4/IMDB7.3
223,美国丽人,1999,剧情/家庭,萨姆·门德斯,豆瓣8.4/IMDB8.4
224,角斗士,2000,剧情/动作/历史,雷德利·斯科特,豆瓣8.4/IMDB8.5
225,花样年华,2000,剧情/爱情,王家卫,豆瓣8.3/IMDB8.1
226,荒岛余生,2000,剧情/冒险,罗伯特·泽米吉斯,豆瓣8.4/IMDB7.7
227,穆赫兰道,2001,剧情/悬疑/惊悚,大卫·林奇,豆瓣8.4/IMDB8.0
228,冰川时代,2002,喜剧/动画/冒险,卡洛斯·沙尔丹哈,豆瓣8.4/IMDB7.6
229,黑客帝国3：矩阵革命,2003,动作/科幻,安迪·沃卓斯基,豆瓣8.4/IMDB6.7
230,导盲犬小Q,2004,剧情,崔洋一,豆瓣8.4/IMDB7.2
